Strategy,Final Value,Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Ticker
Weighted DCA,4452.08,-11.61,-1.18,0.0,74.15,HPHTY
DCA,4207.34,-17.26,-1.75,-0.03,74.16,HPHTY
Enhanced DCA,3746.96,-28.85,-2.91,-0.1,74.12,HPHTY
Weighted DCA,21601.38,146.33,6.81,0.43,67.64,HPI
DCA,21279.45,144.83,6.74,0.42,67.67,HPI
Enhanced DCA,20288.64,140.06,6.51,0.42,67.32,HPI
DCA,3958.1,-23.37,-3.13,0.07,81.69,HPK
Enhanced DCA,3817.08,-27.0,-3.61,0.05,81.61,HPK
Weighted DCA,3728.35,-29.35,-3.92,0.05,81.69,HPK
Weighted DCA,1410.43,-126.55,-7.96,-0.08,93.92,HPP
DCA,1275.85,-136.58,-8.56,-0.11,93.96,HPP
Enhanced DCA,1273.22,-136.79,-8.57,-0.11,93.93,HPP
Weighted DCA,6637.63,28.33,7.53,0.4,34.22,HPP-PC
Enhanced DCA,6527.88,26.66,7.07,0.48,23.62,HPP-PC
DCA,6432.43,25.19,6.66,0.45,24.46,HPP-PC
Enhanced DCA,5421832.89,698.88,11.6,0.45,82.9,HPQ
DCA,5355893.48,697.65,11.58,0.45,82.9,HPQ
Weighted DCA,5191576.15,694.54,11.52,0.45,82.9,HPQ
DCA,20180.93,139.53,6.46,0.38,70.04,HPS
Weighted DCA,20161.19,139.43,6.46,0.38,70.01,HPS
Enhanced DCA,19552.11,136.36,6.31,0.38,69.92,HPS
Weighted DCA,298395.12,408.9,11.22,0.43,56.17,HQH
DCA,275394.36,400.88,10.99,0.43,56.17,HQH
Enhanced DCA,269883.6,398.86,10.93,0.43,56.16,HQH
Weighted DCA,5194.69,3.82,0.17,0.24,99.42,HQI
DCA,3887.12,-25.18,-1.14,0.24,99.42,HQI
Enhanced DCA,3844.71,-26.27,-1.19,0.24,99.41,HQI
Enhanced DCA,111247.44,310.23,9.73,0.45,61.69,HQL
DCA,110556.37,309.61,9.71,0.45,61.69,HQL
Weighted DCA,100888.18,300.46,9.41,0.44,61.69,HQL
Weighted DCA,17467.55,125.09,11.85,0.51,60.65,HQY
DCA,15299.33,111.84,10.53,0.49,60.65,HQY
Enhanced DCA,14795.7,108.49,10.2,0.49,60.65,HQY
Weighted DCA,57227.01,243.76,7.83,0.44,61.35,HR
Enhanced DCA,54735.34,239.31,7.68,0.43,61.36,HR
DCA,54233.61,238.39,7.65,0.43,61.36,HR
Weighted DCA,2592236.41,625.08,12.6,0.51,62.08,HRB
Enhanced DCA,2409456.58,617.77,12.45,0.5,62.08,HRB
DCA,2350884.88,615.31,12.39,0.5,62.08,HRB
Enhanced DCA,348.64,-266.31,-9.06,0.21,99.97,HRBR
DCA,342.18,-268.18,-9.12,0.21,99.97,HRBR
Weighted DCA,336.41,-269.89,-9.18,0.21,99.97,HRBR
DCA,251.05,-299.15,-22.16,0.08,98.05,HRGN
Enhanced DCA,243.99,-302.01,-22.34,0.07,98.16,HRGN
Weighted DCA,193.23,-325.33,-23.84,0.06,98.58,HRGN
Enhanced DCA,24473.28,158.81,8.79,0.35,86.54,HRI
DCA,23497.74,154.75,8.55,0.35,86.57,HRI
Weighted DCA,20745.52,142.29,7.84,0.34,86.54,HRI
Weighted DCA,974053.65,527.2,12.26,0.63,51.44,HRL
Enhanced DCA,899223.2,519.21,12.07,0.63,51.44,HRL
DCA,893673.03,518.59,12.05,0.63,51.44,HRL
Enhanced DCA,3592.74,-33.05,-6.25,-0.21,64.83,HRMY
DCA,3551.99,-34.19,-6.46,-0.24,64.45,HRMY
Weighted DCA,3551.45,-34.21,-6.46,-0.16,68.28,HRMY
DCA,15456.93,112.86,12.08,0.78,28.13,HRNNF
Enhanced DCA,15125.0,110.69,11.83,0.8,28.11,HRNNF
Weighted DCA,15089.72,110.46,11.81,0.74,28.11,HRNNF
DCA,4450.64,-11.64,-0.64,0.3,98.91,HROW
Enhanced DCA,4398.32,-12.82,-0.71,0.3,98.91,HROW
Weighted DCA,4078.08,-20.38,-1.13,0.3,99.12,HROW
Weighted DCA,6714.85,29.49,6.92,0.9,9.01,HROWL
DCA,6513.88,26.45,6.18,0.86,7.06,HROWL
Enhanced DCA,6274.78,22.71,5.29,0.85,5.8,HROWL
Weighted DCA,6026.7,18.68,7.0,1.13,3.82,HROWM
DCA,5738.21,13.77,5.11,1.02,3.27,HROWM
Enhanced DCA,5525.6,10.0,3.69,0.86,2.51,HROWM
Enhanced DCA,9548.7,64.7,5.86,0.3,92.21,HRTG
DCA,9161.89,60.56,5.48,0.3,92.21,HRTG
Weighted DCA,8502.44,53.09,4.79,0.29,92.92,HRTG
Weighted DCA,18.08,-562.25,-13.72,0.07,99.9,HRTX
DCA,13.42,-592.01,-14.39,0.08,99.96,HRTX
Enhanced DCA,12.86,-596.33,-14.49,0.08,99.96,HRTX
Weighted DCA,8686.03,55.23,3.77,0.24,60.41,HRZN
Enhanced DCA,8576.97,53.96,3.69,0.23,60.44,HRZN
DCA,8548.4,53.63,3.66,0.23,60.44,HRZN
Weighted DCA,5144.01,2.84,17.23,0.0,1.28,HRZRF
DCA,5127.75,2.52,15.18,0.0,1.12,HRZRF
Enhanced DCA,5107.1,2.12,12.6,0.0,0.85,HRZRF
Weighted DCA,18807.51,132.48,64.96,1.25,53.83,HSAI
Enhanced DCA,15246.54,111.49,52.38,1.28,47.66,HSAI
DCA,14686.95,107.75,50.25,1.26,47.7,HSAI
Enhanced DCA,20246.57,139.85,5.49,0.3,74.47,HSBC
DCA,19871.52,137.98,5.41,0.29,74.47,HSBC
Weighted DCA,19824.86,137.75,5.4,0.29,74.45,HSBC
DCA,2344.7,-75.73,-20.52,-1.37,70.77,HSCS
Enhanced DCA,1982.32,-92.52,-24.46,-1.43,78.51,HSCS
Weighted DCA,1048.44,-156.21,-37.73,-1.37,89.84,HSCS
Weighted DCA,1.01,-850.91,-53.04,-0.6,99.99,HSDT
DCA,0.02,-1267.57,-67.57,-0.77,100.0,HSDT
Enhanced DCA,0.02,-1267.72,-67.57,-0.8,100.0,HSDT
Weighted DCA,6939.63,32.78,13.96,0.44,41.55,HSHP
DCA,6407.0,24.8,10.39,0.41,31.43,HSHP
Enhanced DCA,6347.67,23.86,9.98,0.43,27.43,HSHP
Weighted DCA,50866.13,231.98,8.07,0.34,78.48,HSIC
Enhanced DCA,48897.78,228.03,7.93,0.34,77.45,HSIC
DCA,48500.58,227.21,7.9,0.34,77.76,HSIC
Enhanced DCA,18549.67,131.1,5.09,0.28,76.31,HSII
DCA,18043.61,128.34,4.98,0.27,76.31,HSII
Weighted DCA,15200.33,111.19,4.3,0.26,82.24,HSII
Weighted DCA,5649.0,12.2,4.65,1.52,5.44,HSPO
DCA,5464.68,8.89,3.36,1.31,4.23,HSPO
Enhanced DCA,5254.66,4.97,1.87,0.78,2.52,HSPO
Weighted DCA,5710.19,13.28,4.9,0.81,8.21,HSPOU
DCA,5533.63,10.14,3.72,0.7,6.04,HSPOU
Enhanced DCA,5338.78,6.56,2.39,0.44,3.79,HSPOU
Weighted DCA,5022.42,0.45,0.67,0.0,0.1,HSPT
DCA,5016.09,0.32,0.48,0.0,0.07,HSPT
Enhanced DCA,5008.49,0.17,0.25,0.0,0.04,HSPT
Weighted DCA,5043.57,0.87,0.99,-1.33,0.47,HSPTU
DCA,5031.36,0.63,0.71,-2.25,0.33,HSPTU
Enhanced DCA,5017.11,0.34,0.39,-5.0,0.18,HSPTU
Weighted DCA,277238.15,401.54,9.21,0.4,86.97,HST
DCA,246871.19,389.94,8.93,0.39,86.97,HST
Enhanced DCA,220642.76,378.71,8.67,0.38,86.97,HST
Enhanced DCA,49.26,-462.01,-25.05,-0.07,99.97,HSTA
DCA,46.95,-466.82,-25.27,-0.06,99.97,HSTA
Weighted DCA,42.73,-476.23,-25.71,-0.04,99.96,HSTA
Weighted DCA,17395.01,124.67,7.14,0.36,94.99,HSTI
DCA,16001.61,116.33,6.65,0.35,95.0,HSTI
Enhanced DCA,13765.35,101.27,5.77,0.34,95.0,HSTI
Enhanced DCA,96287.82,295.79,12.33,0.42,66.2,HSTM
DCA,94690.01,294.12,12.26,0.42,66.2,HSTM
Weighted DCA,87988.16,286.78,11.93,0.41,66.2,HSTM
Weighted DCA,2000670.3,599.18,14.05,0.75,49.15,HSY
DCA,1756963.42,586.19,13.73,0.75,49.15,HSY
Enhanced DCA,1714091.07,583.72,13.67,0.75,49.15,HSY
Weighted DCA,14810.24,108.59,8.56,0.43,57.61,HTB
DCA,14487.55,106.39,8.38,0.42,57.65,HTB
Enhanced DCA,14197.66,104.36,8.22,0.41,57.65,HTB
DCA,7729.28,43.56,1.62,0.18,90.46,HTBK
Enhanced DCA,7727.32,43.53,1.61,0.18,90.46,HTBK
Weighted DCA,6888.42,32.04,1.19,0.16,90.46,HTBK
Enhanced DCA,1562.61,-116.31,-25.15,0.31,95.45,HTCO
DCA,1517.08,-119.26,-25.69,0.33,95.54,HTCO
Weighted DCA,1022.6,-158.71,-32.65,0.32,95.51,HTCO
Enhanced DCA,4354.75,-13.82,-3.73,0.23,85.11,HTCR
DCA,4281.41,-15.52,-4.17,0.2,84.44,HTCR
Weighted DCA,4154.98,-18.51,-4.96,0.23,85.2,HTCR
Weighted DCA,36835.86,199.7,9.69,0.52,69.78,HTD
DCA,34870.81,194.22,9.41,0.51,69.79,HTD
Enhanced DCA,34488.02,193.12,9.36,0.51,69.43,HTD
Weighted DCA,5928.64,17.04,3.88,0.63,6.42,HTFB
DCA,5865.03,15.96,3.63,0.66,6.42,HTFB
Enhanced DCA,5853.61,15.76,3.58,0.7,6.32,HTFB
Weighted DCA,5883.85,16.28,5.11,1.1,3.05,HTFC
DCA,5700.3,13.11,4.1,0.91,2.33,HTFC
Enhanced DCA,5578.18,10.94,3.41,0.9,2.06,HTFC
Weighted DCA,5029.23,0.58,3.65,0.0,0.55,HTFL
DCA,5020.25,0.4,2.52,0.0,0.41,HTFL
Enhanced DCA,5014.14,0.28,1.75,0.0,0.26,HTFL
Enhanced DCA,53131.21,236.33,12.35,0.58,64.93,HTGC
Weighted DCA,52020.64,234.22,12.23,0.57,67.79,HTGC
DCA,51663.13,233.53,12.19,0.57,66.1,HTGC
Enhanced DCA,16359.0,118.53,5.64,0.28,59.3,HTH
DCA,16247.83,117.85,5.61,0.28,59.32,HTH
Weighted DCA,15766.0,114.84,5.46,0.27,59.32,HTH
Weighted DCA,33030.85,188.8,13.02,0.49,55.33,HTHIF
DCA,31791.13,184.97,12.74,0.48,55.42,HTHIF
Enhanced DCA,30281.76,180.11,12.38,0.47,55.22,HTHIF
Weighted DCA,26790.43,167.86,3.93,0.23,84.54,HTHIY
Enhanced DCA,26313.02,166.06,3.89,0.23,84.54,HTHIY
DCA,26216.22,165.69,3.88,0.23,84.54,HTHIY
Enhanced DCA,56388.28,242.28,16.91,0.46,64.02,HTHT
DCA,55393.68,240.5,16.78,0.46,64.02,HTHT
Weighted DCA,54397.77,238.69,16.64,0.45,64.02,HTHT
Weighted DCA,150133.43,340.21,9.14,0.38,71.26,HTLD
DCA,132659.99,327.84,8.79,0.38,71.26,HTLD
Enhanced DCA,129911.3,325.74,8.73,0.37,71.26,HTLD
Enhanced DCA,4730.69,-5.54,-5.32,-0.4,17.95,HTLM
DCA,4694.36,-6.31,-6.04,-0.38,19.85,HTLM
Weighted DCA,4571.85,-8.95,-8.47,-0.37,25.53,HTLM
Enhanced DCA,1096144.95,539.01,10.63,0.45,54.53,HTO
DCA,1089510.82,538.4,10.61,0.45,54.53,HTO
Weighted DCA,1040514.31,533.8,10.52,0.44,54.53,HTO
DCA,221.62,-311.62,-47.72,-1.39,96.67,HTOO
Enhanced DCA,188.9,-327.6,-49.42,-1.4,97.16,HTOO
Weighted DCA,96.4,-394.87,-56.03,-1.52,98.54,HTOO
Enhanced DCA,324.37,-273.53,-43.4,-1.0,98.41,HTOOW
DCA,281.34,-287.76,-45.05,-1.04,98.73,HTOOW
Weighted DCA,71.1,-425.32,-58.73,-1.12,99.46,HTOOW
Enhanced DCA,2520.0,-68.52,-14.88,-0.21,78.26,HTZ
DCA,2492.22,-69.63,-15.1,-0.22,78.54,HTZ
Weighted DCA,1531.44,-118.32,-24.28,-0.34,87.03,HTZ
Enhanced DCA,11848302.53,777.05,15.83,0.22,59.72,HUBB
DCA,11759974.32,776.3,15.81,0.22,59.72,HUBB
Weighted DCA,11727082.82,776.02,15.81,0.22,59.72,HUBB
Enhanced DCA,579.74,-215.46,-43.7,-1.23,88.92,HUBC
DCA,503.4,-229.58,-45.79,-1.18,90.6,HUBC
Weighted DCA,150.56,-350.28,-60.71,-1.46,97.26,HUBC
Enhanced DCA,61160.29,250.41,8.85,0.27,85.0,HUBG
DCA,60297.82,248.99,8.8,0.27,86.06,HUBG
Weighted DCA,55274.99,240.29,8.48,0.27,88.13,HUBG
Weighted DCA,50178.51,230.61,23.39,0.58,69.95,HUBS
DCA,45150.06,220.06,22.21,0.57,69.95,HUBS
Enhanced DCA,41236.19,210.99,21.2,0.55,69.95,HUBS
Enhanced DCA,1281.78,-136.12,-25.17,-0.07,98.37,HUDI
DCA,1271.92,-136.89,-25.29,-0.08,98.34,HUDI
Weighted DCA,971.44,-163.84,-29.46,0.02,99.08,HUDI
Weighted DCA,5289.29,5.62,6.08,0.79,26.64,HUHU
DCA,5198.71,3.9,4.18,0.62,20.6,HUHU
Enhanced DCA,5195.9,3.84,4.12,0.59,17.56,HUHU
DCA,1964.87,-93.4,-15.26,-0.52,85.48,HUIZ
Enhanced DCA,1812.33,-101.48,-16.47,-0.48,86.92,HUIZ
Weighted DCA,1181.49,-144.27,-22.57,-0.73,91.86,HUIZ
Weighted DCA,517438.87,463.95,11.18,0.39,85.1,HUM
DCA,483955.43,457.26,11.01,0.39,85.1,HUM
Enhanced DCA,481342.52,456.71,11.0,0.39,85.1,HUM
Enhanced DCA,1892.56,-97.15,-18.21,-0.11,87.84,HUMA
DCA,1852.27,-99.3,-18.57,-0.11,87.84,HUMA
Weighted DCA,1483.21,-121.52,-22.23,-0.12,87.83,HUMA
Weighted DCA,4353.52,-13.85,-0.67,0.24,92.1,HUN
Enhanced DCA,4096.82,-19.92,-0.96,0.24,91.93,HUN
DCA,4094.49,-19.98,-0.96,0.24,91.96,HUN
Weighted DCA,2.34,-766.79,-45.58,-0.15,100.0,HURA
Enhanced DCA,0.81,-872.89,-49.97,-0.17,100.0,HURA
DCA,0.77,-877.85,-50.17,-0.18,100.0,HURA
Enhanced DCA,6935.62,32.72,0.73,0.22,93.72,HURC
Weighted DCA,6926.39,32.59,0.72,0.22,93.74,HURC
DCA,6780.15,30.46,0.68,0.22,93.73,HURC
Weighted DCA,27646.95,171.01,8.5,0.37,85.58,HURN
Enhanced DCA,23020.62,152.7,7.56,0.35,85.28,HURN
DCA,22913.17,152.23,7.54,0.35,85.6,HURN
Weighted DCA,691.99,-197.76,-8.01,0.29,99.83,HUSA
DCA,557.82,-219.32,-8.85,0.27,99.83,HUSA
Enhanced DCA,553.42,-220.11,-8.88,0.27,99.83,HUSA
Enhanced DCA,34607.0,193.46,29.13,0.73,95.04,HUT
Weighted DCA,32502.84,187.19,28.06,0.71,95.04,HUT
DCA,31522.32,184.13,27.55,0.73,95.04,HUT
Enhanced DCA,2071.0,-88.14,-11.24,-0.07,93.85,HUYA
DCA,1905.44,-96.47,-12.24,-0.08,94.44,HUYA
Weighted DCA,1900.65,-96.72,-12.27,-0.08,94.81,HUYA
Enhanced DCA,113.09,-378.9,-21.03,0.08,99.98,HVGDF
DCA,108.18,-383.34,-21.24,0.08,99.98,HVGDF
Weighted DCA,59.9,-442.46,-24.09,-0.12,99.75,HVGDF
Weighted DCA,5025.85,0.52,0.78,0.0,0.51,HVII
DCA,5018.49,0.37,0.56,0.0,0.37,HVII
Enhanced DCA,5012.29,0.25,0.37,0.0,0.22,HVII
Weighted DCA,5031.36,0.63,0.87,0.0,0.37,HVIIU
DCA,5023.59,0.47,0.66,0.0,0.27,HVIIU
Enhanced DCA,5015.5,0.31,0.43,0.0,0.17,HVIIU
DCA,5000.12,0.0,0.15,0.0,0.0,HVMC
Enhanced DCA,5000.06,0.0,0.08,0.0,0.0,HVMC
Weighted DCA,5000.06,0.0,0.08,0.0,0.0,HVMC
DCA,4999.88,-0.0,-0.02,0.0,0.02,HVMCU
Enhanced DCA,4999.99,-0.0,-0.0,0.0,0.01,HVMCU
Weighted DCA,4999.78,-0.0,-0.03,0.0,0.03,HVMCU
Weighted DCA,442528.01,448.31,10.34,0.4,66.41,HVT
DCA,395006.36,436.95,10.06,0.4,66.41,HVT
Enhanced DCA,352875.38,425.67,9.79,0.39,66.41,HVT
Enhanced DCA,83413.69,281.44,7.41,0.33,66.77,HVT-A
DCA,82101.65,279.85,7.37,0.33,66.77,HVT-A
Weighted DCA,81786.55,279.47,7.36,0.33,66.77,HVT-A
Enhanced DCA,5035.46,0.71,0.62,-0.15,10.49,HWAIF
Weighted DCA,5016.53,0.33,0.29,-0.16,13.74,HWAIF
DCA,5011.86,0.24,0.21,-0.26,9.83,HWAIF
Enhanced DCA,12195.03,89.16,23.54,0.45,65.55,HWAUF
DCA,11856.68,86.35,22.72,0.44,66.22,HWAUF
Weighted DCA,11089.38,79.66,20.78,0.43,72.79,HWAUF
Weighted DCA,24228.61,157.81,6.21,0.32,81.14,HWBK
DCA,23039.03,152.78,6.01,0.31,81.15,HWBK
Enhanced DCA,22730.37,151.43,5.96,0.31,81.11,HWBK
Weighted DCA,115918.34,314.34,9.59,0.45,70.93,HWC
DCA,106127.65,305.52,9.31,0.44,70.93,HWC
Enhanced DCA,101701.39,301.26,9.17,0.43,70.93,HWC
DCA,5962.64,17.61,3.38,0.26,21.08,HWCPZ
Enhanced DCA,5923.71,16.95,3.25,0.27,17.32,HWCPZ
Weighted DCA,5906.22,16.66,3.19,0.22,24.66,HWCPZ
Enhanced DCA,4136.11,-18.97,-5.24,-0.07,61.98,HWH
DCA,2415.11,-72.77,-18.66,-0.32,83.94,HWH
Weighted DCA,709.58,-195.25,-42.54,-0.69,95.4,HWH
DCA,2009.67,-91.15,-17.53,0.41,95.5,HWKE
Enhanced DCA,1846.84,-99.6,-18.99,0.4,95.5,HWKE
Weighted DCA,1580.21,-115.19,-21.61,0.4,95.49,HWKE
Weighted DCA,2304542.81,613.32,14.41,0.55,63.99,HWKN
DCA,2138742.74,605.85,14.22,0.54,63.99,HWKN
Enhanced DCA,2082888.82,603.21,14.15,0.54,63.99,HWKN
Enhanced DCA,4992.43,-0.15,-3.13,-13.44,0.22,HWLDF
Weighted DCA,4982.38,-0.35,-7.15,-6.52,0.47,HWLDF
DCA,4981.36,-0.37,-7.54,-6.44,0.49,HWLDF
Enhanced DCA,58543.89,246.03,31.81,0.9,56.81,HWM
Weighted DCA,56829.12,243.06,31.37,0.82,64.76,HWM
DCA,55825.09,241.28,31.11,0.86,64.81,HWM
Enhanced DCA,5093.6,1.85,0.32,-0.07,32.6,HWM-P
DCA,5034.24,0.68,0.12,-0.08,36.21,HWM-P
Weighted DCA,4898.02,-2.06,-0.35,-0.11,43.47,HWM-P
DCA,207.21,-318.35,-61.17,-0.92,98.19,HWNI
Enhanced DCA,124.86,-369.0,-66.6,-0.94,98.94,HWNI
Weighted DCA,106.79,-384.63,-68.11,-1.01,99.09,HWNI
DCA,207.21,-318.35,-61.17,-0.92,98.19,HWNID
Enhanced DCA,124.86,-369.0,-66.6,-0.94,98.94,HWNID
Weighted DCA,106.79,-384.63,-68.11,-1.01,99.09,HWNID
Enhanced DCA,5011.44,0.23,0.47,0.0,5.71,HXHX
Weighted DCA,5001.21,0.02,0.05,0.0,7.04,HXHX
DCA,4994.59,-0.11,-0.22,0.0,4.86,HXHX
Enhanced DCA,27199.01,169.37,3.79,0.28,96.37,HXL
DCA,26218.9,165.7,3.7,0.27,96.37,HXL
Weighted DCA,23369.8,154.2,3.44,0.27,96.36,HXL
Enhanced DCA,3445.36,-37.24,-2.83,0.07,77.56,HY
DCA,3418.57,-38.02,-2.88,0.07,77.61,HY
Weighted DCA,3411.53,-38.23,-2.9,0.08,77.59,HY
Weighted DCA,5289.96,5.64,2.79,0.54,1.21,HYAC
DCA,5203.37,3.99,1.96,0.29,0.87,HYAC
Enhanced DCA,5121.9,2.41,1.18,-0.27,0.53,HYAC
Weighted DCA,5439.31,8.42,3.91,0.63,10.1,HYAC-UN
DCA,5307.86,5.98,2.76,0.49,7.41,HYAC-UN
Enhanced DCA,5208.77,4.09,1.88,0.27,5.06,HYAC-UN
Weighted DCA,50161.36,230.58,142.81,1.1,64.24,HYDTF
Enhanced DCA,39132.91,205.75,120.69,1.2,60.52,HYDTF
DCA,36892.02,199.86,115.74,1.2,60.4,HYDTF
DCA,643.67,-205.0,-18.74,0.04,94.5,HYEX
Enhanced DCA,79.69,-413.9,-34.22,-0.04,99.25,HYEX
Weighted DCA,30.57,-509.72,-40.3,-0.37,99.51,HYEX
DCA,622.54,-208.34,-35.18,-1.72,93.99,HYFM
Enhanced DCA,612.54,-209.96,-35.4,-1.65,94.04,HYFM
Weighted DCA,276.5,-289.5,-45.25,-1.69,97.11,HYFM
Weighted DCA,1507.84,-119.88,-4.93,0.25,99.91,HYFT
Enhanced DCA,1246.07,-138.94,-5.69,0.21,99.99,HYFT
DCA,1058.71,-155.24,-6.34,0.21,99.99,HYFT
Weighted DCA,10083.98,70.15,4.82,0.41,36.04,HYI
DCA,9757.14,66.86,4.58,0.39,36.06,HYI
Enhanced DCA,9681.04,66.07,4.53,0.39,36.06,HYI
Enhanced DCA,2135.16,-85.09,-13.76,0.12,93.11,HYLN
DCA,1942.25,-94.56,-15.16,0.12,94.9,HYLN
Weighted DCA,1200.47,-142.67,-21.97,0.07,97.27,HYLN
Enhanced DCA,863.53,-175.62,-20.73,0.02,96.37,HYMC
DCA,364.23,-261.94,-29.28,0.0,98.62,HYMC
Weighted DCA,332.21,-271.14,-30.14,-0.03,98.77,HYMC
DCA,5000.0,0.0,0.0,0.0,0.0,HYMCL
Enhanced DCA,5000.0,0.0,0.0,0.0,0.0,HYMCL
Weighted DCA,5000.0,0.0,0.0,0.0,0.0,HYMCL
Enhanced DCA,1211.91,-141.72,-6.36,0.37,99.68,HYOR
Weighted DCA,1158.28,-146.25,-6.56,0.37,99.68,HYOR
DCA,1078.35,-153.4,-6.86,0.36,99.69,HYOR
Enhanced DCA,144.82,-354.17,-36.94,-0.38,99.84,HYPD
DCA,139.32,-358.04,-37.25,-0.4,99.84,HYPD
Weighted DCA,137.15,-359.61,-37.38,-0.41,99.81,HYPD
Weighted DCA,4166.3,-18.24,-1.21,0.11,71.5,HYPMY
Enhanced DCA,4164.06,-18.29,-1.22,0.1,71.51,HYPMY
DCA,4114.07,-19.5,-1.3,0.1,71.51,HYPMY
DCA,4424.13,-12.24,-2.58,0.1,78.91,HYPR
Enhanced DCA,4318.31,-14.66,-3.08,0.1,80.9,HYPR
Weighted DCA,3747.24,-28.84,-5.98,0.09,82.78,HYPR
DCA,9717.52,66.45,4.57,0.26,97.06,HYSR
Enhanced DCA,9296.5,62.02,4.26,0.26,97.06,HYSR
Weighted DCA,4884.55,-2.34,-0.16,0.26,97.0,HYSR
Weighted DCA,24485.29,158.86,7.37,0.36,56.9,HYT
DCA,24147.11,157.47,7.31,0.36,56.95,HYT
Enhanced DCA,23624.92,155.29,7.2,0.36,56.94,HYT
Weighted DCA,5091.17,1.81,0.46,0.42,93.78,HZEN
Enhanced DCA,4324.71,-14.51,-3.6,0.36,93.56,HZEN
DCA,3996.49,-22.4,-5.51,0.33,93.56,HZEN
Enhanced DCA,14581.48,107.03,4.0,0.28,96.75,HZO
DCA,14458.84,106.19,3.97,0.28,96.75,HZO
Weighted DCA,13157.3,96.75,3.61,0.27,96.74,HZO
Weighted DCA,461567.63,452.52,14.85,0.44,77.26,IAC
Enhanced DCA,404161.39,439.24,14.38,0.44,77.26,IAC
DCA,381937.3,433.58,14.18,0.45,77.26,IAC
Weighted DCA,14560.52,106.89,5.95,0.29,42.44,IAE
Enhanced DCA,13715.24,100.91,5.6,0.31,42.44,IAE
DCA,13673.94,100.61,5.59,0.31,42.44,IAE
Enhanced DCA,71740.73,266.36,6.92,0.34,67.68,IAF
Weighted DCA,70494.03,264.61,6.87,0.34,67.68,IAF
DCA,70410.13,264.49,6.87,0.34,67.68,IAF
Weighted DCA,11216.81,80.8,3.71,0.26,95.53,IAG
DCA,10413.62,73.37,3.36,0.26,95.53,IAG
Enhanced DCA,10211.17,71.4,3.27,0.26,95.53,IAG
Enhanced DCA,17277.83,124.0,4.21,0.25,85.48,IART
DCA,16996.04,122.35,4.15,0.25,85.48,IART
Weighted DCA,14356.82,105.48,3.57,0.24,85.47,IART
Enhanced DCA,4175.53,-18.02,-4.14,-0.17,63.33,IAS
DCA,4060.53,-20.81,-4.77,-0.22,63.42,IAS
Weighted DCA,3892.18,-25.05,-5.71,-0.14,68.68,IAS
Weighted DCA,35338.44,195.55,9.93,0.6,45.13,IAU
DCA,32262.07,186.45,9.44,0.58,45.14,IAU
Enhanced DCA,30052.69,179.35,9.07,0.56,45.14,IAU
Weighted DCA,10948.72,78.38,20.21,0.88,10.39,IAUM
DCA,10445.92,73.68,18.89,0.82,8.09,IAUM
Enhanced DCA,10427.74,73.5,18.84,0.82,7.94,IAUM
Enhanced DCA,2657.53,-63.2,-13.24,0.07,84.34,IAUX
DCA,2572.8,-66.44,-13.87,0.06,84.92,IAUX
Weighted DCA,2228.94,-80.79,-16.61,0.04,87.76,IAUX
Weighted DCA,5088.58,1.76,1.24,-0.19,0.79,IBAC
DCA,5061.48,1.22,0.86,-0.92,0.55,IBAC
Enhanced DCA,5046.33,0.92,0.65,-1.81,0.38,IBAC
Enhanced DCA,1329.24,-132.48,-24.43,-0.39,95.43,IBATF
DCA,1322.43,-133.0,-24.51,-0.37,95.66,IBATF
Weighted DCA,1237.72,-139.62,-25.56,-0.24,96.87,IBATF
Enhanced DCA,33886.1,191.36,4.89,0.31,99.59,IBCP
DCA,33805.41,191.12,4.88,0.31,99.59,IBCP
Weighted DCA,32691.51,187.77,4.8,0.3,99.59,IBCP
Weighted DCA,10820.37,77.2,16.17,0.48,56.04,IBEX
Enhanced DCA,10241.79,71.7,14.94,0.48,54.0,IBEX
DCA,10140.69,70.71,14.72,0.48,53.42,IBEX
Enhanced DCA,5012.99,0.26,0.25,-0.7,35.46,IBG
Weighted DCA,4973.98,-0.52,-0.51,-0.76,42.29,IBG
DCA,4956.79,-0.87,-0.84,-1.11,31.58,IBG
Weighted DCA,3.42,-728.71,-34.69,0.07,99.99,IBIO
Enhanced DCA,1.36,-821.28,-38.13,0.04,100.0,IBIO
DCA,1.27,-827.72,-38.36,0.04,100.0,IBIO
Weighted DCA,7340.81,38.4,24.79,15.07,17.31,IBIT
DCA,6661.03,28.68,17.99,11.56,13.04,IBIT
Enhanced DCA,6331.81,23.61,14.59,14.09,10.59,IBIT
Enhanced DCA,88159.16,286.97,16.88,0.55,55.09,IBKR
DCA,87887.33,286.66,16.86,0.55,55.09,IBKR
Weighted DCA,81256.56,278.82,16.36,0.54,55.08,IBKR
Weighted DCA,1293467.15,555.56,9.12,0.43,69.39,IBM
Enhanced DCA,1223321.64,549.99,9.02,0.42,69.39,IBM
DCA,1209480.28,548.85,9.0,0.42,69.4,IBM
Enhanced DCA,183410.58,360.23,15.19,0.49,86.09,IBN
Weighted DCA,181295.09,359.07,15.13,0.49,86.09,IBN
DCA,180134.19,358.43,15.1,0.49,86.09,IBN
Enhanced DCA,4589.64,-8.56,-7.79,-2.09,37.76,IBO
DCA,4524.57,-9.99,-9.03,-2.53,35.07,IBO
Weighted DCA,4335.45,-14.26,-12.64,-2.3,47.92,IBO
